Entity;Aquaculture production (metric tons)
Afghanistan;450.0
Afghanistan;450.0
Afghanistan;450.0
Afghanistan;450.0
Afghanistan;450.0
Afghanistan;450.0
Afghanistan;1050.0
Afghanistan;1050.0
Afghanistan;1650.0
Afghanistan;2250.0
Afghanistan;2850.0
Afghanistan;3480.0
Afghanistan;4110.0
Afghanistan;4760.0
Afghanistan;5450.0
Afghanistan;6150.0
Afghanistan;7000.0
Afghanistan;7950.0
Albania;286.0
Albania;860.0
Albania;1473.0
Albania;1569.0
Albania;1473.0
Albania;2057.0
Albania;2092.0
Albania;2000.0
Albania;2317.0
Albania;2520.0
Albania;2345.0
Albania;3450.0
Albania;3700.0
Albania;4000.0
Albania;3495.0
Albania;4750.0
Albania;4430.0
Albania;6258.0
Algeria;454.0
Algeria;476.0
Algeria;417.0
Algeria;586.0
Algeria;368.0
Algeria;288.0
Algeria;405.0
Algeria;2779.916015625
Algeria;2163.23193359375
Algeria;1758.741943359375
Algeria;2245.77001953125
Algeria;2644.001953125
Algeria;2192.881103515625
Algeria;2410.972900390625
Algeria;1332.989990234375
Algeria;1376.0
Algeria;1416.0
Algeria;5100.1201171875
Angola;11.0
Angola;51.0
Angola;72.0
Angola;92.0
Angola;126.0
Angola;156.0
Angola;190.0
Angola;190.0
Angola;260.0
Angola;310.0
Angola;310.0
Angola;310.0
Angola;57.0
Angola;305.0
Angola;872.0
Angola;655.0
Angola;1339.0
Angola;1752.0
Argentina;1340.0
Argentina;1457.0
Argentina;1647.0
Argentina;1848.0
Argentina;2057.0
Argentina;2528.0
Argentina;2957.0
Argentina;2700.0
Argentina;2582.949951171875
Argentina;2654.349853515625
Argentina;3193.25
Argentina;2958.420166015625
Argentina;3825.119873046875
Argentina;4002.7099609375
Argentina;3662.650146484375
Argentina;3673.48486328125
Argentina;3567.760009765625
Argentina;3205.31005859375
Armenia;1331.0
Armenia;1020.0
Armenia;1064.0
Armenia;813.0
Armenia;739.0
Armenia;1056.0
Armenia;3650.0
Armenia;5100.0
Armenia;5240.0
Armenia;5000.0
Armenia;6300.0
Armenia;8850.0
Armenia;11700.0
Armenia;13925.0
Armenia;15130.0
Armenia;16381.0
Armenia;16690.0
Armenia;17000.0
Australia;35403.0
Australia;38566.0
Australia;38793.0
Australia;44142.0
Australia;42787.0
Australia;49376.0
Australia;55799.0
Australia;58911.69921875
Australia;70121.8515625
Australia;73827.2265625
Australia;73126.5390625
Australia;78992.1015625
Australia;76416.890625
Australia;73677.609375
Australia;83725.2109375
Australia;92449.890625
Australia;89824.921875
Australia;96798.5234375
Austria;2393.0
Austria;2333.0
Austria;2233.0
Austria;2267.0
Austria;2420.0
Austria;2503.0
Austria;2539.0
Austria;2087.0
Austria;2141.0
Austria;2167.0
Austria;2904.300048828125
Austria;3125.5
Austria;3237.0
Austria;3390.300048828125
Austria;3503.39990234375
Austria;3483.39990234375
Austria;3861.60009765625
Austria;3990.60009765625
Azerbaijan;95.0
Azerbaijan;80.0
Azerbaijan;130.0
Azerbaijan;350.0
Azerbaijan;500.0
Azerbaijan;600.0
Azerbaijan;900.0
Azerbaijan;1000.0
Azerbaijan;1000.0
Azerbaijan;1000.0
Azerbaijan;517.0
Azerbaijan;366.1000061035156
Azerbaijan;325.0
Azerbaijan;305.0
Azerbaijan;561.0
Azerbaijan;640.0
Azerbaijan;695.0
Azerbaijan;478.0
Bangladesh;712640.0
Bangladesh;786604.0
