Entity;Life expectancy at birth (historical)
Afghanistan;55.8
Afghanistan;56.5
Afghanistan;57.3
Afghanistan;57.9
Afghanistan;58.4
Afghanistan;58.7
Afghanistan;59.1
Afghanistan;59.9
Afghanistan;60.4
Afghanistan;60.9
Afghanistan;61.4
Afghanistan;61.9
Afghanistan;62.4
Afghanistan;62.5
Afghanistan;62.7
Afghanistan;63.1
Afghanistan;63.0
Afghanistan;63.1
Albania;75.6
Albania;75.9
Albania;76.1
Albania;76.4
Albania;76.6
Albania;76.8
Albania;77.5
Albania;77.7
Albania;77.8
Albania;77.9
Albania;78.1
Albania;78.1
Albania;78.1
Albania;78.4
Albania;78.6
Albania;78.9
Albania;79.0
Albania;79.2
Algeria;70.8
Algeria;71.2
Algeria;71.3
Algeria;71.8
Algeria;72.1
Algeria;72.3
Algeria;72.6
Algeria;72.9
Algeria;73.6
Algeria;73.8
Algeria;74.1
Algeria;74.2
Algeria;74.6
Algeria;75.1
Algeria;75.6
Algeria;75.7
Algeria;75.7
Algeria;76.1
Angola;46.6
Angola;47.4
Angola;49.6
Angola;50.6
Angola;51.6
Angola;52.4
Angola;53.6
Angola;54.6
Angola;55.8
Angola;56.7
Angola;57.6
Angola;58.6
Angola;59.3
Angola;60.0
Angola;60.7
Angola;61.1
Angola;61.7
Angola;62.1
Argentina;74.2
Argentina;74.4
Argentina;74.1
Argentina;74.9
Argentina;75.1
Argentina;75.4
Argentina;75.0
Argentina;75.6
Argentina;75.9
Argentina;75.7
Argentina;76.1
Argentina;76.5
Argentina;76.5
Argentina;76.8
Argentina;76.8
Argentina;76.3
Argentina;76.8
Argentina;77.0
Armenia;70.9
Armenia;71.0
Armenia;71.4
Armenia;71.4
Armenia;71.8
Armenia;72.0
Armenia;72.3
Armenia;72.4
Armenia;72.8
Armenia;73.2
Armenia;73.3
Armenia;73.5
Armenia;73.7
Armenia;74.1
Armenia;74.4
Armenia;74.7
Armenia;74.9
Armenia;75.1
Australia;80.0
Australia;80.1
Australia;80.5
Australia;80.8
Australia;81.1
Australia;81.3
Australia;81.3
Australia;81.5
Australia;81.8
Australia;82.1
Australia;82.1
Australia;82.3
Australia;82.6
Australia;82.6
Australia;82.7
Australia;82.9
Australia;83.0
Australia;83.4
Austria;78.7
Austria;78.8
Austria;78.8
Austria;79.4
Austria;79.5
Austria;80.0
Austria;80.2
Austria;80.4
Austria;80.2
Austria;80.5
Austria;80.8
Austria;80.8
Austria;81.1
Austria;81.4
Austria;81.2
Austria;81.6
Austria;81.6
Austria;81.7
Azerbaijan;65.5
Azerbaijan;66.2
Azerbaijan;66.8
Azerbaijan;67.3
Azerbaijan;67.6
Azerbaijan;68.2
Azerbaijan;68.6
Azerbaijan;68.8
Azerbaijan;69.4
Azerbaijan;69.5
Azerbaijan;70.0
Azerbaijan;70.4
Azerbaijan;70.9
Azerbaijan;71.1
Azerbaijan;71.5
Azerbaijan;72.0
Azerbaijan;72.2
Azerbaijan;72.8
Bangladesh;66.1
Bangladesh;66.6
Bangladesh;66.8
Bangladesh;67.2
Bangladesh;67.3
Bangladesh;67.2
Bangladesh;66.7
Bangladesh;67.1
Bangladesh;67.4
Bangladesh;68.6
Bangladesh;68.8
Bangladesh;69.6
Bangladesh;69.6
Bangladesh;70.0
Bangladesh;70.5
Bangladesh;71.1
Bangladesh;71.8
Bangladesh;72.6
Barbados;74.2
Barbados;74.4
Barbados;74.5
Barbados;74.7
Barbados;74.9
Barbados;75.1
Barbados;75.3
Barbados;75.4
Barbados;75.7
Barbados;75.7
Barbados;75.9
Barbados;76.1
Barbados;76.3
Barbados;76.5
Barbados;76.7
Barbados;76.8
Barbados;76.9
Barbados;77.1
Belarus;68.9
Belarus;68.5
Belarus;68.9
Belarus;69.4
Belarus;69.4
Belarus;70.0
Belarus;70.8
Belarus;70.9
Belarus;71.1
Belarus;71.1
Belarus;71.5
Belarus;72.6
Belarus;73.0
Belarus;73.6
Belarus;74.0
Belarus;74.3
Belarus;74.5
Belarus;74.6
Belgium;78.1
Belgium;78.2
Belgium;78.3
Belgium;79.0
Belgium;79.1
Belgium;79.4
Belgium;79.5
Belgium;79.6
Belgium;79.8
Belgium;80.0
Belgium;80.4
Belgium;80.3
Belgium;80.5
Belgium;81.1
Belgium;80.9
Belgium;81.3
Belgium;81.4
Belgium;81.5
Belize;68.4
Belize;68.8
Belize;68.9
Belize;69.2
Belize;69.4
Belize;70.1
Belize;70.7
Belize;71.2
Belize;71.8
Belize;72.3
Belize;72.7
Belize;73.2
Belize;73.7
Belize;73.3
Belize;73.2
Belize;73.4
